dataset,variable,label
NFHS-4 Household,hhid,case identification
NFHS-4 Household,hv000,country code and phase
NFHS-4 Household,hv001,cluster number
NFHS-4 Household,hv002,household number
NFHS-4 Household,hv003,respondent's line number (answering household questionnaire)
NFHS-4 Household,hv004,ultimate area unit
NFHS-4 Household,hv005,household sample weight (6 decimals)
NFHS-4 Household,hv006,month of interview
NFHS-4 Household,hv007,year of interview
NFHS-4 Household,hv008,date of interview (cmc)
NFHS-4 Household,hv009,number of household members
NFHS-4 Household,hv010,number of eligible women in household
NFHS-4 Household,hv011,number of eligible men in household
NFHS-4 Household,hv012,number of de jure members
NFHS-4 Household,hv013,number of de facto members
NFHS-4 Household,hv014,number of children 5 and under (de jure)
NFHS-4 Household,hv015,result of household interview
NFHS-4 Household,hv016,day of interview
NFHS-4 Household,hv017,number of visits
NFHS-4 Household,hv018,interviewer identification
NFHS-4 Household,hv019,na - keyer identification
NFHS-4 Household,hv020,ever-married sample
NFHS-4 Household,hv021,primary sampling unit
NFHS-4 Household,hv022,sample strata for sampling errors
NFHS-4 Household,hv023,stratification used in sample design
NFHS-4 Household,hv024,state
NFHS-4 Household,hv025,type of place of residence
NFHS-4 Household,hv026,na - place of residence
NFHS-4 Household,hv027,household selected for male interview
NFHS-4 Household,hv028,household weight for male subsample (6 decimals)
NFHS-4 Household,hv030,field supervisor
NFHS-4 Household,hv031,na - field editor
NFHS-4 Household,hv032,na - office editor
NFHS-4 Household,hv035,number of eligible children for height and weight
NFHS-4 Household,hv040,cluster altitude in meters
NFHS-4 Household,hv041,total adults measured
NFHS-4 Household,hv042,household selected for hemoglobin
NFHS-4 Household,hv044,household selected for domestic violence module
NFHS-4 Household,hv201,source of drinking water
NFHS-4 Household,hv202,na - source of non-drinking water
NFHS-4 Household,hv204,time to get to water source (minutes)
NFHS-4 Household,hv205,type of toilet facility
NFHS-4 Household,hv206,has electricity
NFHS-4 Household,hv207,has radio
NFHS-4 Household,hv208,has television
NFHS-4 Household,hv209,has refrigerator
NFHS-4 Household,hv210,has bicycle
NFHS-4 Household,hv211,has motorcycle/scooter
NFHS-4 Household,hv212,has car/truck
NFHS-4 Household,hv213,main floor material
NFHS-4 Household,hv214,main wall material
NFHS-4 Household,hv215,main roof material
NFHS-4 Household,hv216,number of rooms used for sleeping
NFHS-4 Household,hv217,relationship structure
NFHS-4 Household,hv218,line number of head of household
NFHS-4 Household,hv219,sex of head of household
NFHS-4 Household,hv220,age of head of household
NFHS-4 Household,hv221,has telephone (land-line)
NFHS-4 Household,hv225,share toilet with other households
