dataset,variable,label
NFHS-5 Household,hv246a,na - owns cattle
NFHS-5 Household,hv246b,na - owns cows/ bulls
NFHS-5 Household,hv246c,na - owns horses/ donkeys/ mules
NFHS-5 Household,hv246d,na - owns goats
NFHS-5 Household,hv246e,na - owns sheep
NFHS-5 Household,hv246f,na - owns chickens/poultry
NFHS-5 Household,hv246g,na - owns camels
NFHS-5 Household,hv246h,na - owns goats or sheep
NFHS-5 Household,hv246i,na - owns pigs
NFHS-5 Household,hv246j,na - owns cs
NFHS-5 Household,hv246k,na - owns cs
NFHS-5 Household,hv247,has bank account
NFHS-5 Household,hv252,frequency household members smoke inside the house
NFHS-5 Household,hv253,na - has dwelling been sprayed against mosquitoes in last 12 months
NFHS-5 Household,hv253a,na - dwelling sprayed by: government worker/program
NFHS-5 Household,hv253b,na - dwelling sprayed by: private company
NFHS-5 Household,hv253c,na - dwelling sprayed by: ngo
NFHS-5 Household,hv253d,na - dwelling sprayed by: cs
NFHS-5 Household,hv253e,na - dwelling sprayed by: cs
NFHS-5 Household,hv253f,na - dwelling sprayed by: cs
NFHS-5 Household,hv253g,na - dwelling sprayed by: cs
NFHS-5 Household,hv253h,na - dwelling sprayed by: cs
NFHS-5 Household,hv253x,na - dwelling sprayed by: other
NFHS-5 Household,hv253z,na - dwelling sprayed by: don't know
NFHS-5 Household,hv270,wealth index combined
NFHS-5 Household,hv271,wealth index factor score combined (5 decimals)
NFHS-5 Household,hv270a,wealth index for urban/rural
NFHS-5 Household,hv271a,wealth index factor score for urban/rural (5 decimals)
NFHS-5 Household,hml1,number of mosquito bed nets
NFHS-5 Household,hml1a,number of mosquito bed nets with specific information
NFHS-5 Household,hml2,number of children under mosquito bed net previous night
NFHS-5 Household,chl0,na - number of de-jure children 5-14 for child labor module
NFHS-5 Household,shphase,survey phase
NFHS-5 Household,shdist,district number
NFHS-5 Household,shweight,household weight (6 decimals) (state level)
NFHS-5 Household,shmweight,household weight - male subsample (6 decimals) (state level)
NFHS-5 Household,shdbs,eligiblity for dbs collection
NFHS-5 Household,sh28,does any usual resident of your household suffer from tuberculosis?
NFHS-5 Household,sh29a,person 01: who suffer from tuberculosis (line number)
NFHS-5 Household,sh29a1,person 01: where medical treatment was received?
NFHS-5 Household,sh29b,person 02: who suffer from tuberculosis (line number)
NFHS-5 Household,sh29b1,person 02: where medical treatment was received?
NFHS-5 Household,sh29c,person 03: who suffer from tuberculosis (line number)
NFHS-5 Household,sh29c1,person 03: where medical treatment was received?
NFHS-5 Household,sh29d,person 04: who suffer from tuberculosis (line number)
NFHS-5 Household,sh29d1,person 04: where medical treatment was received?
NFHS-5 Household,sh31,does any member of this household including you have any disability?
NFHS-5 Household,sh33a,person 01: who suffer from disability (line number)
NFHS-5 Household,sh33b,person 02: who suffer from disability (line number)
NFHS-5 Household,sh33c,person 03: who suffer from disability (line number)
