dataset,variable,label
NFHS-5 Individual,caseid,case identification
NFHS-5 Individual,v000,country code and phase
NFHS-5 Individual,v001,cluster number
NFHS-5 Individual,v002,household number
NFHS-5 Individual,v003,respondent's line number
NFHS-5 Individual,v004,ultimate area unit
NFHS-5 Individual,v005,women's individual sample weight (6 decimals)
NFHS-5 Individual,v006,month of interview
NFHS-5 Individual,v007,year of interview
NFHS-5 Individual,v008,date of interview (cmc)
NFHS-5 Individual,v008a,date of interview century day code (cdc)
NFHS-5 Individual,v009,respondent's month of birth
NFHS-5 Individual,v010,respondent's year of birth
NFHS-5 Individual,v011,date of birth (cmc)
NFHS-5 Individual,v012,respondent's current age
NFHS-5 Individual,v013,age in 5-year groups
NFHS-5 Individual,v014,completeness of age information
NFHS-5 Individual,v015,result of individual interview
NFHS-5 Individual,v016,day of interview
NFHS-5 Individual,v017,cmc start of calendar
NFHS-5 Individual,v018,row of month of interview
NFHS-5 Individual,v019,length of calendar
NFHS-5 Individual,v019a,number of calendar columns
NFHS-5 Individual,v020,ever-married sample
NFHS-5 Individual,v021,primary sampling unit
NFHS-5 Individual,v022,sample strata for sampling errors
NFHS-5 Individual,v023,stratification used in sample design
NFHS-5 Individual,v024,state
NFHS-5 Individual,v025,type of place of residence
NFHS-5 Individual,v026,na - de facto place of residence
NFHS-5 Individual,v027,number of visits
NFHS-5 Individual,v028,interviewer identification
NFHS-5 Individual,v029,na - keyer identification
NFHS-5 Individual,v030,field supervisor
NFHS-5 Individual,v031,na - field editor
NFHS-5 Individual,v032,na - office editor
NFHS-5 Individual,v034,line number of husband
NFHS-5 Individual,v040,cluster altitude in meters
NFHS-5 Individual,v042,household selected for hemoglobin
NFHS-5 Individual,v044,selected for domestic violence module
NFHS-5 Individual,v045a,language of questionnaire
NFHS-5 Individual,v045b,language of interview
NFHS-5 Individual,v045c,native language of respondent
NFHS-5 Individual,v046,translator used
NFHS-5 Individual,v101,state
NFHS-5 Individual,v102,type of place of residence
NFHS-5 Individual,v103,na - childhood place of residence
NFHS-5 Individual,v104,years lived in place of residence
NFHS-5 Individual,v105,na - type of place of previous residence
NFHS-5 Individual,v105a,na - region of previous residence
NFHS-5 Individual,v106,highest educational level
NFHS-5 Individual,v107,highest year of education
NFHS-5 Individual,v113,source of drinking water
NFHS-5 Individual,v115,time to get to water source
NFHS-5 Individual,v116,type of toilet facility
NFHS-5 Individual,v119,household has: electricity
NFHS-5 Individual,v120,household has: radio
NFHS-5 Individual,v121,household has: television
NFHS-5 Individual,v122,household has: refrigerator
NFHS-5 Individual,v123,household has: bicycle
NFHS-5 Individual,v124,household has: motorcycle/scooter
NFHS-5 Individual,v125,household has: car/truck
NFHS-5 Individual,v127,main floor material
NFHS-5 Individual,v128,main wall material
NFHS-5 Individual,v129,main roof material
NFHS-5 Individual,v130,religion
NFHS-5 Individual,v131,ethnicity
NFHS-5 Individual,v133,education in single years
NFHS-5 Individual,v134,na - de facto place of residence
NFHS-5 Individual,v135,usual resident or visitor
NFHS-5 Individual,v136,number of household members (listed)
NFHS-5 Individual,v137,number of children 5 and under in household (de jure)
NFHS-5 Individual,v138,number of eligible women in household (de facto)
NFHS-5 Individual,v139,de jure region of residence
NFHS-5 Individual,v140,de jure type of place of residence
NFHS-5 Individual,v141,na - de jure place of residence
NFHS-5 Individual,v149,educational attainment
NFHS-5 Individual,v150,relationship to household head
NFHS-5 Individual,v151,sex of household head
NFHS-5 Individual,v152,age of household head
NFHS-5 Individual,v153,household has: telephone (land-line)
NFHS-5 Individual,awfactt,all woman factor - total
NFHS-5 Individual,awfactu,all woman factor - urban/rural
NFHS-5 Individual,awfactr,all woman factor - regional
NFHS-5 Individual,awfacte,all woman factor - educational
NFHS-5 Individual,awfactw,all woman factor - wealth index
NFHS-5 Individual,v155,literacy
NFHS-5 Individual,v156,na - ever participated in a literacy program outside of primary
NFHS-5 Individual,v157,frequency of reading newspaper or magazine
NFHS-5 Individual,v158,frequency of listening to radio
NFHS-5 Individual,v159,frequency of watching television
NFHS-5 Individual,v160,toilet facilities shared with other households
NFHS-5 Individual,v161,type of cooking fuel
NFHS-5 Individual,v166,na - result of salt test for iodine
NFHS-5 Individual,v167,na - number of trips in last 12 months
NFHS-5 Individual,v168,away for more than one month in last 12 months
NFHS-5 Individual,v169a,owns a mobile telephone
NFHS-5 Individual,v169b,use mobile telephone for financial transactions
NFHS-5 Individual,v170,has an account in a bank or other financial institution
NFHS-5 Individual,v171a,use of internet
NFHS-5 Individual,v171b,na - frequency of using internet last month
NFHS-5 Individual,v190,wealth index combined
NFHS-5 Individual,v191,wealth index factor score combined (5 decimals)
NFHS-5 Individual,v190a,wealth index for urban/rural
NFHS-5 Individual,v191a,wealth index factor score for urban/rural (5 decimals)
NFHS-5 Individual,ml101,type of mosquito bed net(s) slept under last night
NFHS-5 Individual,bidx_01,birth column number
NFHS-5 Individual,bidx_02,birth column number
NFHS-5 Individual,bidx_03,birth column number
NFHS-5 Individual,bidx_04,birth column number
NFHS-5 Individual,bidx_05,birth column number
NFHS-5 Individual,bidx_06,birth column number
NFHS-5 Individual,bidx_07,birth column number
NFHS-5 Individual,bidx_08,birth column number
NFHS-5 Individual,bidx_09,birth column number
NFHS-5 Individual,bidx_10,birth column number
NFHS-5 Individual,bidx_11,birth column number
NFHS-5 Individual,bidx_12,birth column number
NFHS-5 Individual,bidx_13,birth column number
NFHS-5 Individual,bidx_14,birth column number
NFHS-5 Individual,bidx_15,birth column number
NFHS-5 Individual,bidx_16,birth column number
NFHS-5 Individual,bidx_17,birth column number
NFHS-5 Individual,bidx_18,birth column number
NFHS-5 Individual,bidx_19,birth column number
NFHS-5 Individual,bidx_20,birth column number
NFHS-5 Individual,bord_01,birth order number
NFHS-5 Individual,bord_02,birth order number
NFHS-5 Individual,bord_03,birth order number
NFHS-5 Individual,bord_04,birth order number
NFHS-5 Individual,bord_05,birth order number
NFHS-5 Individual,bord_06,birth order number
NFHS-5 Individual,bord_07,birth order number
NFHS-5 Individual,bord_08,birth order number
NFHS-5 Individual,bord_09,birth order number
NFHS-5 Individual,bord_10,birth order number
NFHS-5 Individual,bord_11,birth order number
NFHS-5 Individual,bord_12,birth order number
NFHS-5 Individual,bord_13,birth order number
NFHS-5 Individual,bord_14,birth order number
NFHS-5 Individual,bord_15,birth order number
NFHS-5 Individual,bord_16,birth order number
NFHS-5 Individual,bord_17,birth order number
NFHS-5 Individual,bord_18,birth order number
NFHS-5 Individual,bord_19,birth order number
NFHS-5 Individual,bord_20,birth order number
NFHS-5 Individual,b0_01,child is twin
NFHS-5 Individual,b0_02,child is twin
NFHS-5 Individual,b0_03,child is twin
NFHS-5 Individual,b0_04,child is twin
NFHS-5 Individual,b0_05,child is twin
NFHS-5 Individual,b0_06,child is twin
NFHS-5 Individual,b0_07,child is twin
NFHS-5 Individual,b0_08,child is twin
NFHS-5 Individual,b0_09,child is twin
NFHS-5 Individual,b0_10,child is twin
NFHS-5 Individual,b0_11,child is twin
NFHS-5 Individual,b0_12,child is twin
NFHS-5 Individual,b0_13,child is twin
NFHS-5 Individual,b0_14,child is twin
NFHS-5 Individual,b0_15,child is twin
NFHS-5 Individual,b0_16,child is twin
NFHS-5 Individual,b0_17,child is twin
NFHS-5 Individual,b0_18,child is twin
NFHS-5 Individual,b0_19,child is twin
NFHS-5 Individual,b0_20,child is twin
NFHS-5 Individual,b1_01,month of birth
NFHS-5 Individual,b1_02,month of birth
NFHS-5 Individual,b1_03,month of birth
NFHS-5 Individual,b1_04,month of birth
NFHS-5 Individual,b1_05,month of birth
NFHS-5 Individual,b1_06,month of birth
NFHS-5 Individual,b1_07,month of birth
NFHS-5 Individual,b1_08,month of birth
NFHS-5 Individual,b1_09,month of birth
NFHS-5 Individual,b1_10,month of birth
NFHS-5 Individual,b1_11,month of birth
NFHS-5 Individual,b1_12,month of birth
NFHS-5 Individual,b1_13,month of birth
NFHS-5 Individual,b1_14,month of birth
NFHS-5 Individual,b1_15,month of birth
NFHS-5 Individual,b1_16,month of birth
NFHS-5 Individual,b1_17,month of birth
NFHS-5 Individual,b1_18,month of birth
NFHS-5 Individual,b1_19,month of birth
NFHS-5 Individual,b1_20,month of birth
NFHS-5 Individual,b2_01,year of birth
NFHS-5 Individual,b2_02,year of birth
NFHS-5 Individual,b2_03,year of birth
NFHS-5 Individual,b2_04,year of birth
NFHS-5 Individual,b2_05,year of birth
NFHS-5 Individual,b2_06,year of birth
NFHS-5 Individual,b2_07,year of birth
NFHS-5 Individual,b2_08,year of birth
NFHS-5 Individual,b2_09,year of birth
NFHS-5 Individual,b2_10,year of birth
NFHS-5 Individual,b2_11,year of birth
NFHS-5 Individual,b2_12,year of birth
NFHS-5 Individual,b2_13,year of birth
NFHS-5 Individual,b2_14,year of birth
NFHS-5 Individual,b2_15,year of birth
NFHS-5 Individual,b2_16,year of birth
NFHS-5 Individual,b2_17,year of birth
NFHS-5 Individual,b2_18,year of birth
NFHS-5 Individual,b2_19,year of birth
NFHS-5 Individual,b2_20,year of birth
NFHS-5 Individual,b3_01,date of birth (cmc)
NFHS-5 Individual,b3_02,date of birth (cmc)
NFHS-5 Individual,b3_03,date of birth (cmc)
NFHS-5 Individual,b3_04,date of birth (cmc)
NFHS-5 Individual,b3_05,date of birth (cmc)
NFHS-5 Individual,b3_06,date of birth (cmc)
NFHS-5 Individual,b3_07,date of birth (cmc)
NFHS-5 Individual,b3_08,date of birth (cmc)
NFHS-5 Individual,b3_09,date of birth (cmc)
NFHS-5 Individual,b3_10,date of birth (cmc)
NFHS-5 Individual,b3_11,date of birth (cmc)
NFHS-5 Individual,b3_12,date of birth (cmc)
NFHS-5 Individual,b3_13,date of birth (cmc)
NFHS-5 Individual,b3_14,date of birth (cmc)
NFHS-5 Individual,b3_15,date of birth (cmc)
NFHS-5 Individual,b3_16,date of birth (cmc)
NFHS-5 Individual,b3_17,date of birth (cmc)
NFHS-5 Individual,b3_18,date of birth (cmc)
NFHS-5 Individual,b3_19,date of birth (cmc)
NFHS-5 Individual,b3_20,date of birth (cmc)
NFHS-5 Individual,b4_01,sex of child
NFHS-5 Individual,b4_02,sex of child
NFHS-5 Individual,b4_03,sex of child
NFHS-5 Individual,b4_04,sex of child
NFHS-5 Individual,b4_05,sex of child
NFHS-5 Individual,b4_06,sex of child
NFHS-5 Individual,b4_07,sex of child
NFHS-5 Individual,b4_08,sex of child
NFHS-5 Individual,b4_09,sex of child
NFHS-5 Individual,b4_10,sex of child
NFHS-5 Individual,b4_11,sex of child
NFHS-5 Individual,b4_12,sex of child
NFHS-5 Individual,b4_13,sex of child
NFHS-5 Individual,b4_14,sex of child
NFHS-5 Individual,b4_15,sex of child
NFHS-5 Individual,b4_16,sex of child
NFHS-5 Individual,b4_17,sex of child
NFHS-5 Individual,b4_18,sex of child
NFHS-5 Individual,b4_19,sex of child
NFHS-5 Individual,b4_20,sex of child
NFHS-5 Individual,b5_01,child is alive
NFHS-5 Individual,b5_02,child is alive
NFHS-5 Individual,b5_03,child is alive
NFHS-5 Individual,b5_04,child is alive
NFHS-5 Individual,b5_05,child is alive
NFHS-5 Individual,b5_06,child is alive
NFHS-5 Individual,b5_07,child is alive
NFHS-5 Individual,b5_08,child is alive
NFHS-5 Individual,b5_09,child is alive
NFHS-5 Individual,b5_10,child is alive
NFHS-5 Individual,b5_11,child is alive
NFHS-5 Individual,b5_12,child is alive
NFHS-5 Individual,b5_13,child is alive
NFHS-5 Individual,b5_14,child is alive
NFHS-5 Individual,b5_15,child is alive
NFHS-5 Individual,b5_16,child is alive
NFHS-5 Individual,b5_17,child is alive
NFHS-5 Individual,b5_18,child is alive
NFHS-5 Individual,b5_19,child is alive
NFHS-5 Individual,b5_20,child is alive
NFHS-5 Individual,b6_01,age at death
NFHS-5 Individual,b6_02,age at death
NFHS-5 Individual,b6_03,age at death
NFHS-5 Individual,b6_04,age at death
NFHS-5 Individual,b6_05,age at death
NFHS-5 Individual,b6_06,age at death
NFHS-5 Individual,b6_07,age at death
NFHS-5 Individual,b6_08,age at death
NFHS-5 Individual,b6_09,age at death
NFHS-5 Individual,b6_10,age at death
NFHS-5 Individual,b6_11,age at death
NFHS-5 Individual,b6_12,age at death
NFHS-5 Individual,b6_13,age at death
NFHS-5 Individual,b6_14,age at death
NFHS-5 Individual,b6_15,age at death
NFHS-5 Individual,b6_16,age at death
NFHS-5 Individual,b6_17,age at death
NFHS-5 Individual,b6_18,age at death
NFHS-5 Individual,b6_19,age at death
NFHS-5 Individual,b6_20,age at death
NFHS-5 Individual,b7_01,"age at death (months, imputed)"
