state,outcome,n_women,n_districts,did_coef,did_se,did_pval,triple_coef,triple_se,triple_pval
Assam,bank_account_self_use,7278,24,0.004457884615332064,0.0185767823868333,0.8103529233514246,0.025240532630784695,0.02382244129266356,0.2893595935423453
Assam,own_money_autonomy,7278,24,-0.026363584870407204,0.03508181046317629,0.4523585863006321,0.0512102784318748,0.01889800757159445,0.0067318876848111615
Assam,decision_health_care,5297,24,-0.0697504149287145,0.0665879713225926,0.29487238993985376,0.11016384496991995,0.06900747855554747,0.11039852610853561
Assam,mobile_phone_self_use,7278,24,-0.03048850633359256,0.020930134258821693,0.14520475467151692,0.007734507978879432,0.01718394892376165,0.6526378094527223
