outcome,regressor,b,se,p,n,n_states,r2
bank_account_use,log_deposits_pc_3round,30.92362563626496,15.827292209316564,0.050722914999891226,93,34,0.9594124524071032
mobile_use,log_deposits_pc_3round,10.681794247108684,16.768619591608438,0.5241177130184618,66,34,0.9745697147093386
decisions,log_deposits_pc_3round,0.5765303442186607,10.117661063596074,0.9545590785679724,93,34,0.7464095121671732
child_marriage,log_deposits_pc_3round,-11.39519175085384,12.742213599409062,0.37116853094843416,93,34,0.9083555693522258
literacy,log_deposits_pc_3round,7.334689152022847,11.88253296226077,0.5370589803950502,93,34,0.9630023112829303
bank_account_use,log_deposits_pc_2round,24.665360679350073,24.732634850664425,0.3186286463551887,66,34,0.8735373628849978
mobile_use,log_deposits_pc_2round,10.681794247108684,16.768619591608438,0.5241177130184618,66,34,0.9745697147093386
decisions,log_deposits_pc_2round,-3.134323725270775,16.70556686175959,0.8511733610214727,66,34,0.7973610447262449
child_marriage,log_deposits_pc_2round,-4.406746311866939,6.279370755932246,0.4828154293755217,66,34,0.9763754593278303
literacy,log_deposits_pc_2round,3.667700188834118,7.327896313554137,0.6167145943875991,66,34,0.9844675034962667
bank_account_use,log_branch_density_2round,22.501200622071682,15.320072110426347,0.1419033606440771,66,34,0.8903291051051405
mobile_use,log_branch_density_2round,-2.818360326957773,3.927787302922375,0.47303847923682274,66,34,0.9737184103195693
decisions,log_branch_density_2round,-3.4504514770003567,5.118722511774906,0.5002575967090512,66,34,0.8006183107181046
child_marriage,log_branch_density_2round,4.595596217840017,4.9875355535438235,0.3568331572467167,66,34,0.9779532817225316
literacy,log_branch_density_2round,-0.5315583877992083,3.0084709017066005,0.8597540726586317,66,34,0.9841963239411962
