state,outcome,n_women,n_districts,did_coef,did_se,did_pval,triple_coef,triple_se,triple_pval
HP,bank_account_self_use,3756,10,-0.03326792823948453,0.06435807782142529,0.6052125408636977,0.07139537495993686,0.04798515072764102,0.13678678169730454
HP,own_money_autonomy,3756,10,0.040835001029784386,0.060416661082424584,0.49911065570171476,-0.0841118338516092,0.029699544099510238,0.00462445770235048
HP,decision_health_care,2816,10,-0.050420792304249895,0.08156421940397257,0.536461353625701,0.09652408262203993,0.09553029359405484,0.3123023143991519
HP,mobile_phone_self_use,3756,10,0.016021067842013362,0.021861624259287584,0.46365615766689494,-0.006832160532091444,0.016934414495442838,0.686618469775858
Assam,bank_account_self_use,7278,24,0.004457884615332064,0.0185767823868333,0.8103529233514246,0.025240532630784695,0.02382244129266356,0.2893595935423453
Assam,own_money_autonomy,7278,24,-0.026363584870407204,0.03508181046317629,0.4523585863006321,0.0512102784318748,0.01889800757159445,0.0067318876848111615
Assam,decision_health_care,5297,24,-0.0697504149287145,0.0665879713225926,0.29487238993985376,0.11016384496991995,0.06900747855554747,0.11039852610853561
Assam,mobile_phone_self_use,7278,24,-0.03048850633359256,0.020930134258821693,0.14520475467151692,0.007734507978879432,0.01718394892376165,0.6526378094527223
MP,bank_account_self_use,15768,47,0.019594666774883765,0.01795303978379948,0.2750792943182473,0.009921463702195328,0.007896263877443941,0.20894354989721386
MP,own_money_autonomy,15768,47,0.007122808140615708,0.01616595344090178,0.6594986140670922,0.030448382741598754,0.009987581090675155,0.0022989176068846395
MP,decision_health_care,11621,47,0.07599899527595433,0.02997337200261097,0.011227077267985004,0.041484468360649174,0.03164643662174756,0.18990057759357826
MP,mobile_phone_self_use,15768,47,0.008806454527019409,0.011420025139170262,0.44062310543953176,-0.01040378423786777,0.009215115156155177,0.25890153132248106
WB,bank_account_self_use,5159,17,-0.013050142600460873,0.02508788110821916,0.6029401069381359,0.05132122210249323,0.05518909868764325,0.3524146137057007
WB,own_money_autonomy,5159,17,-0.00818095029243739,0.018118717213683147,0.6516153269513949,0.045637302621066834,0.05143047947103304,0.37488561033539936
WB,decision_health_care,3971,17,0.01834502750034545,0.03495670340997905,0.5997272126325133,0.027885260652386577,0.09857145540104822,0.7772581924990299
WB,mobile_phone_self_use,5159,17,-0.01662977737238038,0.026788164336442315,0.5347389623122907,0.040563003991252525,0.04808387670017068,0.39889940932799484
