outcome,label,post_pmmvy,post_pmmvy_se,post_pmmvy_pval,post_banking,post_banking_se,post_banking_pval,triple_coef,triple_se,triple_pval,n,n_districts
bank_account_self_use,Bank account self-use,-0.018512719040888796,0.022340891635279875,0.40730402704451274,-0.024043021943303884,0.02224828256294915,0.2798445239364099,0.001334006872457466,0.03341954987490084,0.9681593288743978,29226,73
mobile_phone_self_use,Mobile phone self-use,-0.020690800817923537,0.009170919820074412,0.02406239876531695,-0.016322319603207455,0.012343277797972856,0.18604660921232385,-0.024096685877127225,0.013976794711083073,0.08469890822196859,29226,73
worked_last_12_months,Worked last 12 months,-0.02788131554849833,0.02788434082375433,0.31736301530860966,0.0038454390443528955,0.030614099159743235,0.900040593822491,0.009324385958222436,0.03542771563541929,0.7924005380382286,29226,73
own_money_autonomy,Own money autonomy,-0.028057782111259446,0.024029573913384214,0.2429538483918363,0.027687141293223645,0.019422173982404114,0.15400034226568568,0.01814844615997712,0.02677923659003182,0.4979581960516266,29226,73
decision_any_say_health_care,Any say: health care,0.036921589894672015,0.014789184538488691,0.012541632663418553,0.042128023422913836,0.020540965231270598,0.04027404103332306,0.06213753022595017,0.023680876158683636,0.008691551741956202,19834,73
decision_any_say_large_purchases,Any say: large purchases,0.03605472783914141,0.0161501885429565,0.025584257522199366,0.02149999009848636,0.021656128087901898,0.3208122435936106,0.04311958050479038,0.02248906142908285,0.05519247369796894,19834,73
loan_program_knowledge,Loan programme knowledge,0.005954683556103745,0.032734367482806316,0.8556539615160222,0.00887604501312683,0.03495795193270764,0.7995679302721217,0.06320027276685102,0.04226052623955931,0.1347861241076324,29226,73
