tercile,n_states,intensity_mean,bank_account,mobile_use,money_autonomy,decision_has_say
Low,12,38.004522132834786,21.74991195438949,7.298010474160243,6.515791081169891,3.892101244830326
Mid,11,63.588805699041615,26.70311250220762,9.264538480134494,10.426223248732413,6.154802360554246
High,12,83.84928854911725,28.765996622949597,7.936083846756803,11.892410841782558,7.1378590743948145
