outcome,label,b_treat,p_treat,b_bank,p_bank,b_triple,p_triple,n
bank_account_self_use,Bank account self-use,-0.02155244636852559,0.21921649157647194,-0.033071801652123554,0.04170255898591177,-0.009360532699573834,0.5154879280826542,6388
mobile_phone_self_use,Mobile phone self-use,0.0025037751216603166,0.8442531519256269,0.005142864653411686,0.6624964137207134,-0.01038925623196461,0.29299165614176215,6388
worked_last_12_months,Worked last 12 months,-0.0076557790051853345,0.7977581240457594,0.0007068329339631023,0.9762057863231395,-0.006409268617402935,0.7299401883859707,6388
own_money_autonomy,Own money autonomy,-0.02308923296367591,0.37704244826034283,0.015798330885763174,0.5002246265467947,0.0016836254426030525,0.9388670448404451,6388
loan_program_knowledge,Loan programme knowledge,-0.017749451014505657,0.5760456149463297,0.0033083488032646787,0.9062776314113806,0.03236350565764434,0.20887143813196318,6388
