outcome,label,coef_post_x_treat,se,pval,n,n_districts
bank_account_self_use,Bank account self-use,-0.01169008255919651,0.018502861157248692,0.5275184608812787,29226,73
mobile_phone_self_use,Mobile phone self-use,-0.011550144146891188,0.01005141232959408,0.2505120313583761,29226,73
worked_last_12_months,Worked last 12 months,-0.03069256078850134,0.024730848684454826,0.21458218490686742,29226,73
own_money_autonomy,Own money autonomy,-0.03946442294958267,0.019312321925906303,0.04100453894636315,29226,73
decision_any_say_health_care,Any say: health care,0.012994028673559588,0.01720285089023236,0.45004405264375724,19834,73
decision_any_say_large_purchases,Any say: large purchases,0.021741936673833964,0.015772303907058374,0.16805257237766758,19834,73
loan_program_knowledge,Loan programme knowledge,-0.008050377016985097,0.028317080130883403,0.7761850557446814,29226,73
