snapshot_label,snapshot_year,snapshot_month,source_file,sheet_name,row_type,region_name_raw,state_name_raw,district_name_raw,bank_group,offices,deposits_million_rs,credit_million_rs,region_name_clean,state_name_clean,district_name_clean
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Faridabad,nationalised_banks,144.0,118741.0,72413.0,NORTHERN REGION,HARYANA,FARIDABAD
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Faridabad,foreign_banks,1.0,832.0,201.0,NORTHERN REGION,HARYANA,FARIDABAD
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Faridabad,regional_rural_banks,23.0,5279.0,3431.0,NORTHERN REGION,HARYANA,FARIDABAD
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Faridabad,old_private_banks,11.0,5632.0,6664.0,NORTHERN REGION,HARYANA,FARIDABAD
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Faridabad,new_private_banks,32.0,47022.0,18389.0,NORTHERN REGION,HARYANA,FARIDABAD
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Fatehabad,state_bank_of_india_and_its_associates,27.0,6936.0,7306.0,NORTHERN REGION,HARYANA,FATEHABAD
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Fatehabad,nationalised_banks,50.0,9266.0,11038.0,NORTHERN REGION,HARYANA,FATEHABAD
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Fatehabad,foreign_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,FATEHABAD
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Fatehabad,regional_rural_banks,23.0,1091.0,3010.0,NORTHERN REGION,HARYANA,FATEHABAD
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Fatehabad,old_private_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,FATEHABAD
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Fatehabad,new_private_banks,16.0,1580.0,3575.0,NORTHERN REGION,HARYANA,FATEHABAD
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Gurgaon,state_bank_of_india_and_its_associates,61.0,61218.0,65129.0,NORTHERN REGION,HARYANA,GURGAON
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Gurgaon,nationalised_banks,212.0,203747.0,101948.0,NORTHERN REGION,HARYANA,GURGAON
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Gurgaon,foreign_banks,6.0,49229.0,33512.0,NORTHERN REGION,HARYANA,GURGAON
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Gurgaon,regional_rural_banks,51.0,24901.0,6183.0,NORTHERN REGION,HARYANA,GURGAON
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Gurgaon,old_private_banks,22.0,15699.0,9063.0,NORTHERN REGION,HARYANA,GURGAON
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Gurgaon,new_private_banks,113.0,246373.0,89001.0,NORTHERN REGION,HARYANA,GURGAON
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Hisar,state_bank_of_india_and_its_associates,44.0,16396.0,27141.0,NORTHERN REGION,HARYANA,HISAR
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Hisar,nationalised_banks,99.0,35395.0,73017.0,NORTHERN REGION,HARYANA,HISAR
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Hisar,foreign_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,HISAR
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Hisar,regional_rural_banks,31.0,3448.0,11013.0,NORTHERN REGION,HARYANA,HISAR
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Hisar,old_private_banks,1.0,149.0,1044.0,NORTHERN REGION,HARYANA,HISAR
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Hisar,new_private_banks,20.0,5176.0,9921.0,NORTHERN REGION,HARYANA,HISAR
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Jhajjar,state_bank_of_india_and_its_associates,16.0,8752.0,8181.0,NORTHERN REGION,HARYANA,JHAJJAR
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Jhajjar,nationalised_banks,66.0,23870.0,18706.0,NORTHERN REGION,HARYANA,JHAJJAR
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Jhajjar,foreign_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,JHAJJAR
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Jhajjar,regional_rural_banks,20.0,4042.0,6293.0,NORTHERN REGION,HARYANA,JHAJJAR
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Jhajjar,old_private_banks,1.0,204.0,101.0,NORTHERN REGION,HARYANA,JHAJJAR
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Jhajjar,new_private_banks,14.0,4747.0,2844.0,NORTHERN REGION,HARYANA,JHAJJAR
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Jind,state_bank_of_india_and_its_associates,25.0,8761.0,7376.0,NORTHERN REGION,HARYANA,JIND
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Jind,nationalised_banks,81.0,13311.0,22015.0,NORTHERN REGION,HARYANA,JIND
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Jind,foreign_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,JIND
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Jind,regional_rural_banks,6.0,220.0,1004.0,NORTHERN REGION,HARYANA,JIND
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Jind,old_private_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,JIND
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Jind,new_private_banks,13.0,2055.0,3032.0,NORTHERN REGION,HARYANA,JIND
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Kaithal,state_bank_of_india_and_its_associates,24.0,5626.0,9411.0,NORTHERN REGION,HARYANA,KAITHAL
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Kaithal,nationalised_banks,54.0,11350.0,14020.0,NORTHERN REGION,HARYANA,KAITHAL
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_1,district,NORTHERN REGION,HARYANA,Kaithal,foreign_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,KAITHAL
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Kaithal,regional_rural_banks,23.0,1151.0,4853.0,NORTHERN REGION,HARYANA,KAITHAL
2013-09,2013,9,rbi_statement_16_district_bankgroup_sep_2013.xls,T_2,district,NORTHERN REGION,HARYANA,Kaithal,old_private_banks,0.0,0.0,0.0,NORTHERN REGION,HARYANA,KAITHAL
