rbi_state,rbi_district,census_state,census_district,population_2011,reporting_offices_dec2013,deposits_crore_dec2013,credit_crore_dec2013,deposits_crore_2015_16,accounts_thousands_2015_16,branch_density_2013,deposits_per_capita_2013_rs,credit_per_capita_2013_rs,deposits_per_capita_2015_16_rs,accounts_per_capita_2015_16
ANDHRA PRADESH,Y S R,ANDHRA PRADESH,Y S R,2882469,285.0,6188.9,7668.6,,,9.88735698458509,21470.82934803462,26604.2757094699,,
ARUNACHAL PRADESH,ANJAW,ARUNACHAL PRADESH,ANJAW,21167,2.0,24.0,5.2,38.1921,13.578,9.448670099683468,11338.404119620163,2456.654225917702,18043.227665706054,0.6414702130675107
ARUNACHAL PRADESH,CHUNGLANG,ARUNACHAL PRADESH,CHANGLANG,148226,5.0,268.6,44.6,374.5105,76.137,3.373227369017581,18120.977426362446,3008.9188131636824,25266.181371689177,0.5136548243897832
ARUNACHAL PRADESH,DIBANG VALLEY,ARUNACHAL PRADESH,DIBANG VALLEY,8004,1.0,22.3,4.6,34.1257,5.785,12.49375312343828,27861.069465267366,5747.126436781609,42635.807096451776,0.7227636181909045
ARUNACHAL PRADESH,EAST KAMENG,ARUNACHAL PRADESH,EAST KAMENG,78690,2.0,93.3,42.2,110.7642,40.347,2.5416190113102046,11856.652687762104,5362.816113864532,14076.019824628289,0.5127335112466641
ARUNACHAL PRADESH,EAST SIANG,ARUNACHAL PRADESH,EAST SIANG,99214,14.0,379.3,120.3,560.1514,134.14600000000002,14.110911766484568,38230.49166448283,12125.304896486383,56458.90700909146,1.352087407019171
ARUNACHAL PRADESH,KURUNG KUMEY,ARUNACHAL PRADESH,KURUNG KUMEY,92076,2.0,39.0,13.4,70.9548,20.248,2.172118684564925,4235.631434901603,1455.3195186584994,7706.112341978365,0.21990529562535296
ARUNACHAL PRADESH,LOHIT,ARUNACHAL PRADESH,LOHIT,145726,7.0,387.5,101.4,496.89239999999995,85.398,4.803535402055913,26590.999547095234,6958.264139549566,34097.71763446468,0.5860175946639584
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,54080,2.0,151.0,22.6,188.1308,37.003,3.698224852071006,27921.597633136094,4178.994082840237,34787.5,0.6842270710059172
ARUNACHAL PRADESH,LOWER SUBANSIRI,ARUNACHAL PRADESH,LOWER SUBANSIRI,83030,6.0,166.8,84.5,207.2045,73.649,7.226303745634109,20089.12441286282,10177.044441768036,24955.37757437071,0.8870167409370108
ARUNACHAL PRADESH,PAPUMPARE,ARUNACHAL PRADESH,PAPUM PARE,176573,39.0,3420.4,857.7,4203.420700000001,325.552,22.087182072004214,193710.25015149542,48574.81041835388,238055.6880157216,1.8437246917705425
ARUNACHAL PRADESH,TAWANG,ARUNACHAL PRADESH,TAWANG,49977,6.0,617.1,34.3,756.5103999999999,55.551,12.005522540368569,123476.79932769074,6863.1570522440325,151371.71098705402,1.111531304400024
ARUNACHAL PRADESH,LONGDING,ARUNACHAL PRADESH,TIRAP,111975,5.0,202.9,44.900000000000006,273.023,58.342,4.465282429113641,18120.116097343158,4009.8236213440505,24382.49609287788,0.5210270149586962
ARUNACHAL PRADESH,UPPER SIANG,ARUNACHAL PRADESH,UPPER SIANG,35320,2.0,75.9,19.9,110.0449,29.727,5.662514156285391,21489.241223103058,5634.2015855039635,31156.54020385051,0.841647791619479
