snapshot_label,snapshot_year,snapshot_month,region_name_raw,region_name_clean,state_name_raw,state_name_clean,district_name_raw,district_name_clean,reporting_offices_total,deposits_total_million_rs,credit_total_million_rs,deposits_total_crore_rs,credit_total_crore_rs
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ARUNACHAL PRADESH,ARUNACHAL PRADESH,Kurung Kumey,KURUNG KUMEY,2.0,390.0,134.0,39.0,13.4
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ARUNACHAL PRADESH,ARUNACHAL PRADESH,Lohit,LOHIT,7.0,3875.0,1014.0,387.5,101.4
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ARUNACHAL PRADESH,ARUNACHAL PRADESH,Longding,LONGDING,3.0,426.0,148.0,42.6,14.8
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ARUNACHAL PRADESH,ARUNACHAL PRADESH,Lower Dibang Valley,LOWER DIBANG VALLEY,2.0,1510.0,226.0,151.0,22.6
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ARUNACHAL PRADESH,ARUNACHAL PRADESH,Lower Subansiri,LOWER SUBANSIRI,6.0,1668.0,845.0,166.8,84.5
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ARUNACHAL PRADESH,ARUNACHAL PRADESH,Papumpare,PAPUMPARE,39.0,34204.0,8577.0,3420.4,857.7
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ARUNACHAL PRADESH,ARUNACHAL PRADESH,Tawang,TAWANG,6.0,6171.0,343.0,617.1,34.3
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ARUNACHAL PRADESH,ARUNACHAL PRADESH,Tirap,TIRAP,2.0,1603.0,301.0,160.3,30.1
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ARUNACHAL PRADESH,ARUNACHAL PRADESH,Upper Siang,UPPER SIANG,2.0,759.0,199.0,75.9,19.9
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ARUNACHAL PRADESH,ARUNACHAL PRADESH,Upper Subansiri,UPPER SUBANSIRI,4.0,1351.0,512.0,135.1,51.2
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ARUNACHAL PRADESH,ARUNACHAL PRADESH,West Kameng,WEST KAMENG,9.0,3887.0,907.0,388.7,90.7
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ARUNACHAL PRADESH,ARUNACHAL PRADESH,West Siang,WEST SIANG,9.0,4095.0,1370.0,409.5,137.0
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Baksa,BAKSA,28.0,4367.0,2129.0,436.7,212.9
2013-12,2013,12,NORTH-EASTERN REGION,NORTH EASTERN REGION,ASSAM,ASSAM,Barpeta,BARPETA,69.0,17113.0,7967.0,1711.3,796.7
