Bank Type,Rural,Urban,No. of Accounts,No. of Rupay Debit Card,Balance in Accounts (In Lacs),No. of Accounts With Zero Balance,Aadhaar Seeding
Public Sector Bank,92238015,73014075,165252090,140821948,2609405.376,48592852,78195032
Regional Rural Bank,31932869,5278875,37211744,26653022,575643.675,9118065,10956777
Private Banks,4537976,3004730,7542706,7089897,122439.8456,2931522,2532482
Grand Total,128708860,81297680,210006540,174564867,3307488.897,60642439,91684291
